System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
11 Com,G8+IIIFe-1,1989ApJS...71..245K,Gaia DR3 3946945413106333696,185.1787633,0.10265955,17.793264,0.10379008,10.16767953,0.13647683,100.6914,105.4601,91.5184,-109.4258025,0.14367026,88.92991873,0.10672985,141.00545,43.251984,0.13928862
16 Cyg,,,,,,,,,,,,,,,,,,,
18 Del,G6III,1957ArA.....2...55O,Gaia DR3 1756741374681702784,314.6078305,0.05746131,10.83913298,0.040245607,13.30213543,0.06518407,--,--,--,-49.92076303,0.070462815,-34.50874906,0.04368574,60.687202,4.171299,0.11649046
2MASS J01033563-5515561,M5.0,2014AJ....147..146K,,,,,,,,,,,,,,,,,
2MASS J19383260+4603591,sdB+dM,2010MNRAS.408L..51O,Gaia DR3 2080063931448749824,294.6359184,0.027756467,46.06640688,0.03160684,2.440960936,0.031625494,--,--,--,5.225044261,0.037355088,-4.404688765,0.042169448,6.8339133,--,--
30 Ari,F5V,2009A&A...507.1659G,Gaia DR3 102082477749475200,39.24129515,0.028020425,24.64800885,0.026261695,22.51072487,0.03152984,44.3601,44.4222,44.2924,140.9505232,0.033430036,-10.53556747,0.028294275,141.34372,12.378623,0.3073357
42 Dra,K1.5IIIFe-1,1989ApJS...71..245K,Gaia DR3 2256800156349110528,276.4975408,0.08326502,65.56336162,0.076497704,11.05598683,0.084134236,--,--,--,105.81551,0.10726357,-26.84555334,0.10623377,109.167786,31.748833,0.120681904
51 Eri,F0IV,1995ApJS...99..135A,Gaia DR3 3205095125321700480,69.40074849,0.069258526,-2.473833384,0.03442226,33.43903248,0.07770842,30.1045,30.9226,29.8508,44.0488409,0.10085864,-64.02842203,0.07450798,77.71705,--,--
55 Cnc,K0IV-V,2003AJ....126.2048G,Gaia DR3 704967037090946688,133.1467606,0.02994385,28.329783,0.01983439,79.44818376,0.042877857,12.5796,12.5965,12.5712,-485.6808133,0.040257532,-233.5170053,0.03707892,538.90265,27.187504,0.12249401
75 Cet,K1III,1999MSS...C05....0H,Gaia DR3 2500064286492779264,38.03915661,0.09285401,-1.035031213,0.07591072,12.17172096,0.09623004,81.118,81.948,80.3809,-23.2684826,0.09828476,-30.9872741,0.08225424,38.750916,-6.3396134,0.12565237
91 Aqr,K1-IIIFe-0.5,1989ApJS...71..245K,Gaia DR3 2630155547353593216,348.9745549,0.5586589,-9.087810189,0.20857851,22.09236557,0.1301702,--,--,--,369.4769954,0.5925647,-16.98147653,0.24350376,369.86703,-26.068363,0.13127498
CoRoT-2,G7V+K9V,2014A&A...565L...1P,Gaia DR3 4287820848378092672,291.7770452,0.012019838,1.383661743,0.009825503,4.689528478,0.014295013,212.016,212.6313,211.3497,-3.359797246,0.01599304,-11.10135549,0.012099371,11.598635,24.825539,1.9754307
CoRoT-9,G3V,2011A&A...529A.136E,Gaia DR3 4285571629874670080,280.7866441,0.013728639,6.204076157,0.013591964,2.341232174,0.016025688,417.9986,421.3564,413.9663,-14.39952213,0.01586458,-14.94192312,0.013599754,20.75108,19.116896,2.8013453
DE CVn,DA+M3V,2010MNRAS.407.2362P,Gaia DR3 1550299304833675392,201.7206798,0.013787829,45.54552053,0.015297735,32.77275975,0.021094888,30.307,30.339,30.2661,-202.3093573,0.01681181,-175.7416803,0.01833988,267.98175,80.34062,28.176386
DMPP-3,K0IV/V,1975MSS...C01....0H,Gaia DR3 5266148569447305600,91.62435297,0.10836196,-72.51435875,0.10826041,21.2495661,0.11426809,46.5499,48.6955,45.9337,-0.715893487,0.13285986,-382.7548271,0.12850001,382.7555,35.64353,0.49376386
DP Leo,,,Gaia DR3 3971777500966832384,169.3162149,0.19617555,17.96157145,0.20644008,3.149319635,0.2530307,--,--,--,-28.90772516,0.23214693,-2.077733507,0.23746987,28.982298,--,--
DS Tuc,G6V,2006A&A...460..695T,Gaia DR3 6387058411482257536,354.9154985,0.012696214,-69.19605238,0.0121749,22.63674664,0.015010941,44.079,44.2131,43.8823,79.52919796,0.014670932,-67.55108468,0.016220242,104.34578,7.128368,0.2766961
EPIC 246851721,,,Gaia DR3 3393939030531019520,78.91982005,0.020435212,16.27869737,0.013418274,2.64572096,0.022930551,368.756,371.7911,365.8613,2.627286629,0.024301762,-12.92634834,0.017940454,13.190645,39.292477,1.9503491
GJ 15,M2V,1989ApJS...71..245K,Gaia DR3 385334196532776576,4.625300681,0.020594174,44.02874452,0.013754434,280.694731,0.027839076,3.5638,3.5778,3.561,2862.796426,0.022829484,336.4319037,0.01896944,2882.497,10.603611,0.14668693
GJ 229,M1V,1991ApJS...77..417K,Gaia DR3 2940856402123426176,92.64357908,0.008222482,-21.86782311,0.013698905,173.5739858,0.017049566,--,--,--,-135.6916079,0.010703687,-719.178134,0.01708214,731.86707,4.2265444,0.118980676
