Name, Distance (ly), Mass, Stellar Mag, Discovery date
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 206215704 b,358,0.972 Earths,17.83,2019
EPIC 206317286 b,1025,0.84 Earths,14.005,2019
EPIC 220492298 b,2037,0.937 Earths,13.991,2021
GJ 367 b,31,0.546 Earths,10.153,2021
K2-116 b,161,0.257 Earths,10.8,2017
K2-136 b,193,0.937 Earths,11.101,2017
K2-137 b,323,0.5 Jupiters,15.94,2017
K2-138 f,661,1.63 Earths,12.246,2017
K2-147 b,295,0.315 Earths,14.044,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-209 b,250,0.586 Earths,11.061,2018
K2-210 b,576,0.566 Earths,11.535,2018
K2-223 b,648,0.64 Earths,11.443,2018
K2-239 c,101,0.972 Earths,14.632,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-266 c,253,0.29013 Earths,11.625,2018
K2-315 b,186,0.809 Earths,17.67,2020
K2-89 b,281,0.17 Earths,14.162,2016
Kepler-1027 b,1321,0.64 Earths,12.994,2016
Kepler-102 b,352,4.3 Earths,12.072,2014
Kepler-102 c,352,3 Earths,12.072,2014
Kepler-102 f,352,5.2 Earths,12.072,2014
Kepler-1031 b,2228,0.59 Earths,13.877,2016
Kepler-1047 c,2667,0.937 Earths,13.46,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-1053 b,493,0.904 Earths,13.576,2016
Kepler-1067 b,2178,0.437 Earths,14.395,2016
Kepler-106 b,1449,5.3 Earths,12.923,2014
Kepler-106 d,1449,8.1 Earths,12.923,2014
Kepler-1076 b,649,0.437 Earths,13.175,2016
Kepler-1087 b,1183,0.165 Earths,12.973,2016
Kepler-1130 b,813,0.437 Earths,12.509,2016
Kepler-1130 c,813,0.422 Earths,12.509,2021
Kepler-1130 d,813,0.202 Earths,12.509,2021
Kepler-1141 b,1284,0.477 Earths,12.403,2016
Kepler-1152 b,702,0.59 Earths,15.31,2016
Kepler-1169 b,1705,0.779 Earths,12.707,2016
Kepler-1173 b,1230,0.64 Earths,13.896,2016
Kepler-119 c,2290,0.721 Earths,14.375,2014
Kepler-11 b,2108,1.9 Earths,13.817,2010
Kepler-1222 b,1354,0.418 Earths,14.21,2016
Kepler-1235 b,1763,0.418 Earths,14.079,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
Kepler-1258 b,2341,0.566 Earths,13.929,2016
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1285 b,1377,0.871 Earths,11.717,2016
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1339 b,1210,0.285 Earths,12.344,2016
Kepler-1349 b,901,0.271 Earths,11.209,2016
Kepler-1351 b,661,0.208 Earths,14.328,2016
Kepler-1352 b,2188,0.64 Earths,13.338,2016
Kepler-1361 b,1269,0.566 Earths,14.096,2016
Kepler-1365 b,2740,0.721 Earths,13.417,2016
Kepler-1365 c,2740,0.437 Earths,13.417,2016
Kepler-1367 b,1310,0.721 Earths,16.012,2016
Kepler-1371 b,1681,0.315 Earths,14.018,2016
Kepler-1371 c,1681,0.196 Earths,14.018,2016
Kepler-1385 b,2247,0.543 Earths,12.947,2016
Kepler-1387 b,1485,0.749 Earths,14.727,2016
